Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Daniel Oliveira 0005, Wesley K. G. Assunção, Leonardo Souza, Willian Nalepa Oizumi, Alessandro F. Garcia 0001, Baldoino Fonseca",Applying Machine Learning to Customized Smell Detection: A Multi-Project Study.,SBES,2020: 233-242,https://doi.org/10.1145/3422392.3422427,inproceedings
"Jabier Martinez, Daniele Wolfart, Wesley K. G. Assunção, Eduardo Figueiredo 0001","Insights on software product line extraction processes: ArgoUML to ArgoUML-SPL
                revisited.",SPLC (A),2020: 6:1-6:6,https://doi.org/10.1145/3382025.3414971,inproceedings
"Gabriela Karoline Michelon, David Obermann, Lukas Linsbauer, Wesley Klewerton Guez Assunção, Paul Grünbacher, Alexander Egyed",Locating feature revisions in software systems evolving in space and time.,SPLC (A),2020: 14:1-14:11,https://doi.org/10.1145/3382025.3414954,inproceedings
"Wesley K. G. Assunção, Jacob Krüger, Willian Douglas Ferrari Mendonça","Variability management meets microservices: six challenges of re-engineering
                microservice-based webshops.",SPLC (A),2020: 22:1-22:6,https://doi.org/10.1145/3382025.3414942,inproceedings
"Luciano Marchezan, João Carbonell, Elder Rodrigues 0001, Maicon Bernardino, Fábio Paulo Basso, Wesley K. G. Assunção",Enhancing the Feature Retrieval Process with Scoping and Tool Support: PAxSPL_v2.,SPLC (B),2020: 29-36,https://doi.org/10.1145/3382026.3425767,inproceedings
"Jackson A. Prado Lima, Willian Douglas Ferrari Mendonça, Silvia R. Vergilio, Wesley K. G. Assunção","Learning-based prioritization of test cases in continuous integration of
                highly-configurable software.",SPLC (A),2020: 31:1-31:11,https://doi.org/10.1145/3382025.3414967,inproceedings
"Wesley K. G. Assunção, Mathieu Acher, Tewfik Ziadi, Jabier Martinez",REVE 2020: 8th International Workshop on Reverse Variability Engineering.,SPLC (A),2020: 35:1,https://doi.org/10.1145/3382025.3414947,inproceedings
"Gabriela Karoline Michelon, David Obermann, Wesley Klewerton Guez Assunção, Lukas Linsbauer, Paul Grünbacher, Alexander Egyed",Mining Feature Revisions in Highly-Configurable Software Systems.,SPLC (B),2020: 74-78,https://doi.org/10.1145/3382026.3425776,inproceedings
"Crescencio Lima, Wesley K. G. Assunção, Jabier Martinez, Willian D. F. Mendonça, Ivan do Carmo Machado, Christina von Flach G. Chavez","Product line architecture recovery with outlier filtering in software families:
                the Apo-Games case study.",J. Braz. Comput. Soc.,25(2019): 7:1-7:17,https://doi.org/10.1186/s13173-019-0088-4,article
"Luiz Carvalho, Alessandro Garcia 0001, Wesley K. G. Assunção, Rafael Maiani de Mello, Maria Julia de Lima",Analysis of the criteria adopted in industry to extract microservices.,CESSER-IP@ICSE,2019: 22-29,https://dl.acm.org/citation.cfm?id=3338712,inproceedings
"Willian Douglas Ferrari Mendonça, Wesley K. G. Assunção, Silvia R. Vergilio","Reusing Test Cases on Graph Product Line Variants: Results from a
                State-of-the-Practice Test Data Generation Tool.",SAST,2019: 52-61,https://doi.org/10.1145/3356317.3356318,inproceedings
